fact_event.subscription_id,fact_event.external_id,fact_event.ingested_time,fact_event.persisted_time,fact_event.vehicle_id,fact_event.lineage_code,fact_event.driver_id,fact_event.driver_orig_id,fact_event.event_id,fact_event.event_type,fact_event.start_seq,fact_event.end_seq,fact_event.start,fact_event.end_,fact_event.recorded,fact_event.start_odo,fact_event.end_odo,fact_event.odometer,fact_event.start_gps_id,fact_event.end_gps_id,fact_event.total_time,fact_event.total_occurs,fact_event.value,fact_event.litres,fact_event.f3prm,fact_event.f3value
504,85267535,2017-06-29 04:10:00.0,2018-05-07 08:35:00.0,804,2,0,0,-95,2,29398512,0,2017-06-15 09:00:00.0,1753-01-01 00:00:00.0,2017-06-15 09:00:56.56,0,0,0,1891300574,0,0,1,10,0,0,0
1452,4566658,2017-06-13 19:37:00.0,2018-05-07 06:48:00.0,21,2,0,0,1,0,1901019,1901025,2017-06-11 12:01:00.0,2017-06-11 12:10:00.0,2017-06-11 12:01:37.37,0,0,0,161450986,161450991,537,1,9,0,0,0
1067,15121276,2017-06-18 11:00:00.0,2018-05-07 07:02:00.0,195,2,13922,0,-31,0,8219003,8219005,2017-06-13 04:52:00.0,2017-06-13 04:52:00.0,2017-06-13 04:52:52.52,0,0,0,319074516,319074517,3,1,24,0,0,0
