fact_event_validated.subscription_id,fact_event_validated.external_id,fact_event_validated.ingested_time,fact_event_validated.persisted_time,fact_event_validated.vehicle_id,fact_event_validated.lineage_code,fact_event_validated.driver_id,fact_event_validated.driver_orig_id,fact_event_validated.event_id,fact_event_validated.event_type,fact_event_validated.start_seq,fact_event_validated.end_seq,fact_event_validated.start,fact_event_validated.end_,fact_event_validated.recorded,fact_event_validated.start_odo,fact_event_validated.end_odo,fact_event_validated.odometer,fact_event_validated.start_gps_id,fact_event_validated.end_gps_id,fact_event_validated.total_time,fact_event_validated.total_occurs,fact_event_validated.value,fact_event_validated.litres,fact_event_validated.f3prm,fact_event_validated.f3value,fact_event_validated.validation_code,fact_event_validated.problem_vehicle,fact_event_validated.year,fact_event_validated.week_number
504,85267535,10:00.0,35:00.0,804,2,0,0,-95,2,29398512,0,00:00.0,1753-01-01 00:00:00.0,00:56.6,0,0,0,1891300574,0,0,1,10,0,0,0,1,1,2017,24
1452,4566658,37:00.0,48:00.0,21,2,0,0,1,0,1901019,1901025,01:00.0,10:00.0,01:37.4,0,0,0,161450986,161450991,537,1,9,0,0,0,0,1,2017,24
1067,15121276,00:00.0,02:00.0,195,2,13922,0,-31,0,8219003,8219005,52:00.0,52:00.0,52:52.5,0,0,0,319074516,319074517,3,1,24,0,0,0,-1,2,2017,24
