fact_gps_pos.subscription_id,fact_gps_pos.external_id,fact_gps_pos.ingested_time,fact_gps_pos.persisted_time,fact_gps_pos.vehicle_id,fact_gps_pos.lineage_code,fact_gps_pos.driver_id,fact_gps_pos.driver_orig_id,fact_gps_pos.event_time,fact_gps_pos.latitude,fact_gps_pos.longitude,fact_gps_pos.altitude,fact_gps_pos.velocity,fact_gps_pos.block_seq,fact_gps_pos.heading,fact_gps_pos.satellites,fact_gps_pos.hdop,fact_gps_pos.age_of_read,fact_gps_pos.distance_since_read,fact_gps_pos.is_avl,fact_gps_pos.odometer,fact_gps_pos.coord_valid,fact_gps_pos.event_year,fact_gps_pos.event_month,fact_gps_pos.event_day,fact_gps_pos.event_hour,fact_gps_pos.event_minute,fact_gps_pos.event_second,fact_gps_pos.event_msecond,fact_gps_pos.geohash1,fact_gps_pos.geohash2,fact_gps_pos.geohash3,fact_gps_pos.geohash4,fact_gps_pos.geohash5,fact_gps_pos.geohash6,fact_gps_pos.geohash7,fact_gps_pos.geohash8,fact_gps_pos.geohash9,fact_gps_pos.geohash10,fact_gps_pos.geohash11,fact_gps_pos.geohash12
1452,161450986,2017-06-14 14:34:39.800527,2018-05-07 15:33:38.788,21,2,0,0,2017-06-11 12:01:37.0,46.92591857910156,53.972110748291016,-11,12,1901020,250,7,1.0,58,564,false,0.0,true,47,569,17328,415884,24953041,1497182497,1497182497000,v,v0,v0q,v0q6,v0q6u,v0q6un,v0q6unt,v0q6unt7,v0q6unt73,v0q6unt733,v0q6unt7334,v0q6unt7334x
1067,319074516,2017-06-23 20:29:00.886177,2018-05-07 15:56:21.199,195,2,13922,13922,2017-06-13 04:52:52.0,46.400028228759766,53.476688385009766,-19,15,8219004,222,12,0.800000011920929,0,7,false,0.0,true,47,569,17330,415924,24955492,1497329572,1497329572000,v,v0,v0n,v0np,v0npb,v0npby,v0npbyu,v0npbyue,v0npbyuec,v0npbyuec0,v0npbyuec0h,v0npbyuec0hv
504,1891300574,2017-07-06 01:31:04.096916,2018-05-07 16:06:24.798,804,2,0,0,2017-06-15 09:00:56.0,47.1197509765625,51.85205841064453,-21,0,29398513,0,11,0.8999999761581421,1,0,false,0.0,true,47,569,17332,415977,24958620,1497517256,1497517256000,v,v0,v0k,v0ku,v0ku5,v0ku5c,v0ku5cv,v0ku5cvs,v0ku5cvs2,v0ku5cvs2w,v0ku5cvs2w1,v0ku5cvs2w1p
504,1891295752,2017-07-06 01:29:44.129056,2018-05-07 16:08:43.168,804,2,0,0,2017-06-15 09:00:56.0,47.1197509765625,51.85203170776367,-21,0,-2146913406,0,0,0.0,0,0,false,0.0,true,47,569,17332,415977,24958620,1497517256,1497517256000,v,v0,v0k,v0ku,v0ku5,v0ku5c,v0ku5cv,v0ku5cvk,v0ku5cvkr,v0ku5cvkry,v0ku5cvkryj,v0ku5cvkryjp
